2018,S&P GLOBAL INC,Finance/Trade,"(79,06,752)"
2018,3M COMPANY,Other,"(2,32,68,51,406)"
2018,HONEYWELL INTERNATIONAL INCORPORATED,Other,"(78,79,43,145)"
2018,AMERICAN AIRLINES GROUP INC,Transportation,"(12,87,38,28,528)"
2018,DELTA AIR LINES INC,Transportation,"(11,31,57,62,197)"
2018,UNITED CONTINENTAL HOLDINGS INCORPORATED,Transportation,"(10,76,33,54,823)"
2018,SOUTHWEST AIRLINES CO.,Transportation,"(6,84,38,92,416)"
2018,FEDEX CORPORATION,Transportation,"5,38,22,29,564"
2018,"AIR PRODUCTS AND CHEMICALS,INC.",Other,"(9,26,04,60,321)"
2018,PROCTER & GAMBLE CO,Other,"(1,70,04,62,670)"
2018,KIMBERLY-CLARK CORPORATION,Other,"(1,64,96,88,192)"
2018,CELANESE CORPORATION,Other,"(86,81,99,935)"
2018,ASHLAND GLOBAL HOLDINGS INC,Other,"(49,88,90,616)"
2018,"PPG INDUSTRIES,INC.",Other,"(37,68,15,495)"
2018,MINERALS TECHNOLOGIES INC.,Other,"(33,91,23,677)"
2018,W. R. GRACE & CO,Other,"(32,49,46,880)"
2018,ALBEMARLE CORPORATION,Other,"(29,63,18,309)"
2018,KRATON CORP,Other,"(27,85,37,177)"
2018,AXALTA COATING SYSTEMS LTD,Other,"(10,40,55,594)"
2018,INGEVITY CORP,Other,"(9,40,09,794)"
2018,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,Other,"(7,83,91,006)"
2018,MICROSOFT CORPORATION,Computer,"(82,40,87,462)"
2018,INTERNATIONAL BUSINESS MACHINES CORPORATION,Computer,"(37,68,37,330)"
2018,ORACLE CORPORATION,Computer,"(15,54,88,305)"
2018,SYMANTEC CORPORATION,Computer,"(2,42,40,553)"
2018,ADOBE INC,Computer,"(2,01,15,762)"
2018,LEIDOS HOLDINGS INC,Computer,"(1,52,13,803)"
2018,ALLIANCE DATA SYSTEMS CORPORATION,Computer,"(1,02,70,462)"
2018,WORKDAY INC,Computer,"(55,53,307)"
2018,TERADATA CORPORATION,Computer,"(49,73,013)"
2018,VIRTUSA CORPORATION,Computer,"(48,85,776)"
2018,"SALESFORCE.COM,INC.",Computer,"4,92,36,414"
2018,OWENS-CORNING,Other,"(1,36,03,07,580)"
2018,JOHNSON CONTROLS INTERNATIONAL PLC,Other,"(76,73,66,342)"
2018,AECOM,Other,"(5,76,36,592)"
2018,MASCO CORPORATION,Other,"(1,33,56,550)"
2018,KB HOME,Other,"(82,07,455)"
2018,EXXON MOBIL CORPORATION,Energy,"(38,05,25,22,074)"
2018,CHEVRON CORPORATION,Energy,"(16,01,04,77,903)"
2018,OCCIDENTAL PETROLEUM CORPORATION,Energy,"(8,06,91,11,455)"
2018,CONOCOPHILLIPS,Energy,"(5,75,17,11,856)"
2018,MARATHON OIL CORPORATION,Energy,"(83,25,27,306)"
2018,HESS CORPORATION,Energy,"(81,71,60,170)"
2018,"NOBLE ENERGY,INC.",Energy,"(61,14,88,014)"
2018,CNX RESOURCES CORP,Energy,"(28,62,93,291)"
2018,DIAMONDBACK ENERGY INC,Energy,"(16,15,74,790)"
2018,KOSMOS ENERGY LIMITED,Energy,"7,60,79,165"
2018,MARATHON PETROLEUM CORP,Energy,"(14,83,30,86,050)"
2018,"DIGITAL REALTY TRUST,INC.",Finance/Trade,"(93,93,30,624)"
2018,AMERICAN TOWER CORPORATION,Finance/Trade,"(75,49,48,568)"
2018,"EQUINIX,INC.",Finance/Trade,"(61,80,68,670)"
2018,WEYERHAEUSER CO,Finance/Trade,"(32,03,42,540)"
2018,BANK OF AMERICA CORPORATION,Finance/Trade,"(30,20,89,628)"
2018,WELLS FARGO & COMPANY,Finance/Trade,"(27,12,44,530)"
2018,"SIMON PROPERTY GROUP,INC.",Finance/Trade,"(22,98,36,048)"
2018,"HOST HOTELS & RESORTS,INC.",Finance/Trade,"(22,86,70,038)"
2018,VENTAS INCORPORATED,Finance/Trade,"(20,06,17,246)"
2018,EQUITY RESIDENTIAL,Finance/Trade,"(17,26,05,641)"
2018,IRON MOUNTAIN INCORPORATED,Finance/Trade,"(17,05,46,138)"
2018,JPMORGAN CHASE & CO.,Finance/Trade,"(16,24,40,675)"
2018,AVALONBAY COMMUNITIES INC.,Finance/Trade,"(14,81,17,870)"
2018,CITIGROUP INC.,Finance/Trade,"(14,09,08,269)"
2018,VORNADO REALTY TRUST,Finance/Trade,"(12,47,24,968)"
2018,"BOSTON PROPERTIES,INC.",Finance/Trade,"(9,13,37,145)"
2018,CORESITE REALTY CORPORATION,Finance/Trade,"(7,68,55,234)"
2018,PNC FINANCIAL SERVICES GROUP INCORPORATED,Finance/Trade,"(7,34,26,325)"
2018,JBG SMITH PROPERTIES,Finance/Trade,"(5,42,20,614)"
2018,BROOKFIELD PROPERTY REIT INC,Finance/Trade,"(5,32,05,835)"
2018,WELLTOWER INC,Finance/Trade,"(5,25,02,250)"
2018,KIMCO REALTY CORPORATION,Finance/Trade,"(3,83,24,613)"
2018,"DOUGLAS EMMETT,INC.",Finance/Trade,"(3,61,70,441)"
2018,DIAMONDROCK HOSPITALITY COMPANY,Finance/Trade,"(3,32,61,619)"
2018,REGIONS FINANCIAL CORP,Finance/Trade,"(3,19,74,824)"
2018,BANK OF NEW YORK MELLON CORP.,Finance/Trade,"(3,03,61,863)"
2018,REGENCY CENTERS CORPORATION,Finance/Trade,"(2,95,42,386)"
2018,HUNTINGTON BANCSHARES INCORPORATED,Finance/Trade,"(2,67,09,352)"
